gene,var_index,n_cells_global,mean_counts_global,total_counts_global,global_log_mean,global_logit_detection,z_global_mean,z_global_detection,global_preselection_distance,target,preselection_rank
APRT,21380,2353970,3.129632247329606,20213916.0,1.418188358778149,0.20849800495796023,44.50018827036729,1.438057941947022,1.2883859583864974,TIMP1,33
IFITM2,14421,2468645,2.8128590116024776,18167916.0,1.3383793044777976,0.31794925475023234,41.95737108734271,1.473969193660325,1.2988515015255462,TIMP1,34
LIMD2,22708,1461239,3.1350819546240145,20249115.0,1.419507148019032,-0.6516515368992749,44.542206559794515,1.1558405459159873,1.312934918703294,TIMP1,35
RGS2,2182,1397631,6.285207851083756,40595397.0,1.9858459706174734,-0.7185912790606642,62.586476124718864,1.133877435079486,0.35867251111981835,IFITM1,1
ALDOA,20731,1964145,6.295640001926031,40662777.0,1.9872769097134029,-0.15819286104341176,62.63206765005254,1.317745674933749,0.3811855828886754,IFITM1,2
LGALS3,18519,2946562,6.153279539684828,39743288.0,1.9675709284248286,0.8042450079008652,62.004210218734414,1.6335241483241287,0.44226866030404494,IFITM1,3
SLC25A5,28021,2926580,6.2849502212380814,40593733.0,1.985810606574829,0.7823975382732772,62.58534938169346,1.6263559343239768,0.48758982509462684,IFITM1,4
SSR4,28266,3187854,6.143386027203792,39679387.0,1.966186897440256,1.0850986221340397,61.96011324502308,1.7256729803791329,0.543441839149195,IFITM1,5
PPP1R15A,24971,2651090,6.067869362469865,39191634.0,1.9555590713310445,0.4963549422614537,61.621497293667524,1.5325045832831916,0.685412438683182,IFITM1,6
BTF3,7592,3795703,6.21639885187507,40150968.0,1.9763560544970955,2.0905394538460675,62.28411542156426,2.05556084240876,0.7875410413217441,IFITM1,7
SRSF7,3077,2917253,6.396174165826609,41312115.0,2.000962861899129,0.7722605929375446,63.068119357330616,1.623029975084166,0.8878687284638591,IFITM1,8
ARHGDIB,16357,2655222,6.002545333331063,38769714.0,1.9462737020092236,0.5004759698531878,61.32565370963759,1.533856703605665,0.9655625057951794,IFITM1,9
LDHA,14771,2851076,5.990677639262169,38693062.0,1.9445774956473967,0.7013776869432525,61.27161043446512,1.5997731015065455,1.0367717740096225,IFITM1,10
CD52,488,1981367,6.448454600248743,41649788.0,2.0080065746653797,-0.14194946065468836,63.29254093469835,1.3230751786273705,1.0399047528606837,IFITM1,11
IGLV1-44,26746,124968,6.21951409834431,40171089.0,1.9767876512417337,-3.500380061714245,62.297866638491016,0.2211649957358407,1.0483438418899518,IFITM1,12
ATP5F1B,16847,2800159,6.504686958836046,42012986.0,2.015527753200979,0.6479778049372626,63.53217517400337,1.582252455485442,1.3160354555459137,IFITM1,13
FABP1,3459,1588133,5.9080016826449295,38159068.0,1.9326804038635759,-0.5220613164166844,60.89255407699883,1.1983594484974114,1.3633205834924473,IFITM1,14
TXNIP,1471,3217460,5.91438018888417,38200266.0,1.9336033282555203,1.1222151283553679,60.92195961278725,1.7378510066708583,1.4123405262027775,IFITM1,15
