gene,normal_mean,normal_detection,normal_variance
GPR183,0.008533902366607775,0.012897526501766784,0.0071292827240008625
GPX4,0.728820065180212,0.627208480565371,0.44948773625815075
GSTP1,1.0508585092261484,0.7690812720848057,0.4797124140226916
H3-3A,1.2518736261731447,0.8309187279151944,0.49441351743229456
H4C11,0.004525742319787985,0.005653710247349823,0.0044257156412758555
HNRNPK,0.6916189198328622,0.6462897526501766,0.35545791498524826
HSPD1,0.1872491667067138,0.19558303886925796,0.18331437268524728
HTD2,0.015775165557420496,0.023851590106007067,0.012006418827579394
ID2,0.19345151924558304,0.2097173144876325,0.18741856095505302
IFITM2,0.8836808165978799,0.6946996466431096,0.5155647280921496
IFITM3,2.115239112922261,0.9353356890459364,0.7795781962039556
IGHG1,0.014838999377208482,0.018197879858657243,0.021072927592495398
IGHJ4,9.940211307420496e-05,0.00035335689045936394,3.632616709071616e-05
IGHV3-21,0.007067871660777384,0.00901060070671378,0.0074265770074752446
IGHV3-7,0.009422437448763251,0.013604240282685512,0.01009246088592471
IGHV4-39,0.01160148298409894,0.01519434628975265,0.010562992610206844
IGKV2D-28,0.0007794781519434629,0.0010600706713780918,0.0006714712701558844
IGLV1-40,0.03560587749116608,0.042756183745583036,0.03396697866193012
IGLV1-44,0.01322628275441696,0.0176678445229682,0.012144837388696662
IGLV2-8,0.016302932584805654,0.022968197879858657,0.013264680425184744
IL11RA,0.1307509779328622,0.15335689045936396,0.11890408178986073
IL18RAP,0.0010044054416961132,0.0021201413427561835,0.0005181158977668834
IL32,0.10784892540106007,0.11342756183745584,0.12141650291861192
ITM2A,0.049249862892226146,0.05759717314487633,0.05302398190190991
JTB,0.29125305534805657,0.36113074204947,0.18963825851519794
KLRF1,0.0009470299964664312,0.0021201413427561835,0.0005197929920066664
KRT7,0.001977965390459364,0.0033568904593639574,0.0014863237294532076
LDHA,0.43249465208657245,0.4471731448763251,0.2987848083764846
LGALS1,2.359914772022968,0.9597173144876325,0.6658548495957253
LGALS3,1.0395440740035335,0.7526501766784452,0.5288674994454754
LIMD2,0.08666141163427561,0.11519434628975266,0.0711197949567431
LINC00954,0.0012860461166077739,0.00265017667844523,0.0007012501107262246
LINC01610,0.0003590903533568904,0.0007067137809187279,0.0002121241422429216
MCL1,0.39856204487985863,0.4226148409893993,0.29069138976006637
MOCS3,0.014425953514134275,0.021908127208480566,0.011182915202774384
MRC1,0.0016368105883392224,0.0028268551236749115,0.0011052822401608014
MUC5AC,8.430678975265017e-05,0.00017667844522968197,4.0229212958930184e-05
NACA2,0.003226431021201414,0.0077738515901060075,0.0017859822165465216
NCDN,0.01632540162809187,0.029858657243816256,0.010631529720529258
PDF,0.009723071810070672,0.015724381625441698,0.007435232042959552
PIGR,0.08547517594346289,0.0862190812720848,0.0997137528104436
PLP2,0.27859315951431096,0.3353356890459364,0.1942908375565855
PPIA,1.1371212999134275,0.8,0.4819506746244582
PPP1R15A,0.7217153912756185,0.5934628975265017,0.5057454087604071
PRDX5,0.48146989577208477,0.5121908127208481,0.2868657171772742
REP15,0.00359089906360424,0.005123674911660777,0.0034851342024731983
RGS2,0.09658594920229682,0.12367491166077739,0.08878454887268267
S100A4,2.082274112542403,0.9060070671378092,0.9955640704405052
S100B,1.9669900214567138,0.8885159010600707,1.0583107071522686
SAMD10,0.0013350304045936395,0.0021201413427561835,0.0009424230753613757
SFRP4,0.13250290373144877,0.16431095406360424,0.11524509830490129
SIK1,0.001741308899293286,0.0033568904593639574,0.0011464419342849055
SLC25A5,0.34658500292226146,0.39169611307420493,0.2376867643540333
SRP14,1.1553029768056537,0.8277385159010601,0.4323631367019015
SRSF3,0.5047400634646643,0.5231448763250883,0.3140611880780546
SRSF7,0.5187461350201413,0.5272084805653711,0.3351110807400464
SSR4,0.5345253763886926,0.5390459363957597,0.3243467629095771
TAGLN2,1.2172533356922262,0.7830388692579505,0.6654107200406706
THBS2,0.058410234812720854,0.0784452296819788,0.04877500253247296
TMBIM6,0.744941005405477,0.6722614840989399,0.36920931943348206
TRGV9,0.00023203136042402827,0.00035335689045936394,0.00016346992352401542
TSPAN8,0.029816223804770316,0.03445229681978799,0.031203734093073802
TUBA1A,1.76752120569788,0.888339222614841,0.7964314001234368
TUBB3,0.04268292595053003,0.05265017667844523,0.04200906942023348
TUFM,0.3063038583250883,0.3814487632508834,0.19328885027061626
TXNIP,0.7414377655494698,0.5740282685512368,0.579128754221541
UBASH3A,0.0009470720088339224,0.0015901060070671379,0.0007174450483629885
WDR5B,0.019212208475265016,0.027738515901060072,0.015493276264625539
WDR83OS,0.4871371356431095,0.5118374558303886,0.2942110438932318
ZNF48,0.010579881775618374,0.014840989399293287,0.00943779347125237
ZNF575,0.015732304441696113,0.024381625441696114,0.01186813865430396
ZNF671,0.004933686803886926,0.007597173144876325,0.003981376140990978
ZNF674-AS1,0.011849812284452298,0.0196113074204947,0.00873824761828175
ZNF687,0.01659227093639576,0.02791519434628975,0.011755521201576411
