"gene","logFC_6h","FDR_6h","logFC_12h","FDR_12h","logFC_24h","FDR_24h","n_up_fdr05","n_down_fdr05","mean_logFC"
"Saa1",0.177300026484298,0.906507648800214,5.09604278408917,2.50043751550779e-05,5.23851284896693,9.53762710402656e-06,2,0,3.50395188651346
"Saa2",0.291481229550842,0.802149603880172,4.26897736079391,2.50043751550779e-05,5.45882694705251,2.42635119903726e-07,2,0,3.33976184579909
"Slpi",0.474878841438026,0.701497515134993,4.48317613892092,6.53095807926697e-05,4.86557635164193,2.10510746389551e-05,2,0,3.27454377733362
"Gbp5",3.12884489492014,0.0123825435039855,3.83834489815631,0.0044189631191719,2.75274287888873,0.165048641252104,2,0,3.23997755732172
"U90926",0.958110266404966,0.520279248874692,3.57145772461149,0.0454551134000869,4.70333546996665,0.00173207226792021,2,0,3.07763448699437
"Chil1",-0.206849557241961,0.865390466556488,3.80694856893774,0.000130485160165367,4.93568691600609,1.44217287681368e-06,2,0,2.84526197590062
"Csf3",2.97183510168472,0.0100476105454048,3.7826958061654,0.00153685857937463,1.71345605126579,0.999883655288253,2,0,2.8226623197053
"Hp",0.51717373107088,0.664341873952133,3.62604563930226,0.00128064877437045,4.1952103199632,0.00014379290075925,2,0,2.77947656344545
"Iigp1",2.57265142490532,0.0365961648022577,3.29429432788646,0.0454551134000869,2.19768266350629,0.84499330027935,2,0,2.68820947209936
"Cp",1.61828821579808,0.0557185572438303,2.79044189539305,0.00476334353984025,3.4600472289341,0.000251913489121415,2,0,2.62292578004174
"Arg2",1.16976333874175,0.247386736908679,3.38645562841911,0.00328068210599932,3.24267126323029,0.00636784267509693,2,0,2.59963007679705
"Il13ra2",1.12826021751403,0.363786467422352,3.29634684245697,0.0268790894629493,3.27432424204792,0.035081063452658,2,0,2.5663104340063
"Ccl11",0.11678299463725,0.927517906135969,4.11013248315461,2.50043751550779e-05,3.40367705822406,0.000545176004952927,2,0,2.54353084533864
"Ptgs2os2",1.00653598506988,0.339332059863417,2.98405808816098,0.0151305070097353,3.10394586870812,0.0115183347427357,2,0,2.36484664731299
"Timp1",0.935175143649459,0.201025256606491,2.93085858224258,0.000243215750180253,2.80016093808103,0.000545176004952927,2,0,2.22206488799102
"Ifitm1",0.669248160539805,0.476315008700265,2.77948003008134,0.00450275048816484,3.05133137269333,0.001406356735,2,0,2.16668652110482
"Fth1",0.627959133160788,0.0804498018514321,1.42738280261625,0.000395932411860494,1.06529818205601,0.0249661923245202,2,0,1.04021337261101
"Cxcl5",1.99116526995337,0.173056183740274,3.34684844696823,0.184245066674903,4.38636279501215,0.0173558167193797,1,0,3.24145883731125
"Selp",5.89604146510102,2.89234583406061e-05,2.69419808704054,0.268963318878692,0.671972839066792,0.999883655288253,1,0,3.08740413040278
"Ccl20",4.52308500507245,0.000417721515864047,2.25165623520051,0.438408602002869,2.28225702513946,0.487367813503112,1,0,3.01899942180414
"Wfdc17",0.884447883614682,0.574755567495264,4.12144886153002,0.0130226267932839,3.5786118057759,0.071946444211359,1,0,2.86150285030687
"Mmp9",2.81156308373753,0.0178946007563049,2.81207788572264,0.0849512408445595,2.941001441798,0.071946444211359,1,0,2.85488080375272
"Mmp3",1.10996447815449,0.424195464597628,4.19423668634809,0.00454775325817954,3.16893858380671,0.120728155797317,1,0,2.82437991610309
"Ptges",3.96994829816999,0.00250731473111029,2.2946645515,0.429887351775722,2.20525208431727,0.621013136782131,1,0,2.82328831132909
"Zbp1",1.20043301769845,0.389041936804118,3.73012303192692,0.0240934014548802,3.5013731859237,0.0518365403356277,1,0,2.81064307851636
"Gm4951",3.1788832091202,0.0183075152285242,2.81413817596553,0.242263272077851,2.38395068964871,0.716289971325699,1,0,2.79232402491148
"Socs3",4.35943080912499,0.000546743862304952,2.01741942545714,0.664338725889858,1.99861212008995,0.84499330027935,1,0,2.79182078489069
"Kcne4",3.78525773447967,0.0089034558853528,2.23823541647585,0.889722064480027,2.27296117181772,0.999883655288253,1,0,2.76548477425775
"Sprr2e",1.7335704864032,0.115499261713852,3.69120048972574,0.0044189631191719,2.71374877734234,0.146187268430764,1,0,2.71283991782376
"Casp4",3.5444293598567,0.0123825435039855,2.25372072152254,0.821581214712177,2.31035064055661,0.919184226748248,1,0,2.70283357397862
"Igtp",4.33214640073475,0.00600463497463264,2.4400976969465,0.8160008602007,1.2434444963436,0.999883655288253,1,0,2.67189619800828
"Tlr2",3.37532691078286,0.0126623876731701,1.94370892954194,0.999984452942187,2.53916550483468,0.489961374091668,1,0,2.6194004483865
"Gbp6",3.674125541176,0.0104617993830821,2.07461875830512,0.999984452942187,1.93857104235262,0.999883655288253,1,0,2.56243844727791
"Vegfc",4.5891949256487,0.00270332417873564,1.87782578991694,0.999984452942187,1.11333862058911,0.999883655288253,1,0,2.52678644538492
"Ifi47",3.92099772342411,0.00270332417873564,2.28772543266693,0.458813478659029,1.36777374272754,0.999883655288253,1,0,2.52549896627286
"Gbp4",2.21733160082666,0.0676008271142894,4.10468203970094,0.0041796209653862,1.22209208046482,0.999883655288253,1,0,2.51470190699747
"Adora2b",3.61451311004489,0.0092593589435166,2.35566370787391,0.619963256741821,1.47756264940915,0.999883655288253,1,0,2.48257982244265
"Gch1",4.02099018709228,0.00092730182101749,1.76926704228589,0.935661568395636,1.63183491662502,0.999883655288253,1,0,2.4740307153344
"Isg15",4.66286413408596,0.00092730182101749,1.42893753706417,0.999984452942187,1.29001591466593,0.999883655288253,1,0,2.46060586193869
"Cxcl16",2.94018997581758,0.0161987005593876,2.32599923183032,0.409049201097692,1.78443607771613,0.999883655288253,1,0,2.35020842845468
"Bcl3",3.49049740803884,0.0120408765720862,1.44291383657831,0.999984452942187,2.0994349232179,0.999883655288253,1,0,2.34428205594502
"Rgs16",3.14935229354357,0.0133038535454577,1.94229994156519,0.988284005367591,1.93062737248872,0.999883655288253,1,0,2.34075986919916
"Osmr",4.22545112279083,0.000417721515864047,1.24036392442751,0.999984452942187,1.50074772317255,0.999883655288253,1,0,2.3221875901303
"Lif",3.41937781957598,0.00796434424003133,2.00308380752455,0.8160008602007,1.5025831562414,0.999883655288253,1,0,2.30834826111398
"Nfkbiz",3.92253303488283,0.00170767507397914,1.26634649339228,0.999984452942187,1.7168791428712,0.999883655288253,1,0,2.30191955704877
"Mndal",3.93120076649249,0.00622994484678362,1.93478957485649,0.999984452942187,0.992572113984448,0.999883655288253,1,0,2.28618748511114
"Ifit3",4.43940387089856,0.0050441088649219,1.63667770825883,0.999984452942187,0.728166025545683,0.999883655288253,1,0,2.26808253490102
"Cx3cl1",2.65138656670929,0.031700789335336,1.96867594045206,0.99768099597416,2.08408478363796,0.999883655288253,1,0,2.23471576359977
"Parp14",4.24765360818831,0.00479399530843184,1.38717332216708,0.999984452942187,1.02749218500132,0.999883655288253,1,0,2.22077303845223
"Oasl2",3.36981343888125,0.0137538161917017,1.92008531200411,0.999984452942187,1.36227146741564,0.999883655288253,1,0,2.217390072767
"Nipal1",4.05077678409862,0.00600463497463264,1.12990054660049,0.999984452942187,1.40824923235895,0.999883655288253,1,0,2.19630885435269
"Rsad2",4.23971423921501,0.00885067097689257,2.03993133338819,0.999984452942187,0.237217266755509,0.999883655288253,1,0,2.17228761311957
"Ereg",2.73274258276448,0.0206655683762265,1.69023581563498,0.999984452942187,2.02243134365473,0.84499330027935,1,0,2.14846991401806
"Stat1",3.98521815873185,0.00414078915998612,1.43423257245666,0.999984452942187,1.01813654586245,0.999883655288253,1,0,2.14586242568365
"H2-T22",3.21119986726783,0.0122242415587709,2.17071275392035,0.624189260782275,1.0527818263739,0.999883655288253,1,0,2.14489814918736
"Il19",0.998010540871956,0.330871326500436,3.01637716778016,0.0105431264649854,2.32266215014803,0.165048641252104,1,0,2.11234995293338
"Ifi204",2.75526251613234,0.0285284447472255,2.16991007048586,0.76233822195873,1.37125320554677,0.999883655288253,1,0,2.09880859738832
"Slc7a2",2.93950960307957,0.0164950417934718,2.11895689488074,0.627820451659314,1.02811272834749,0.999883655288253,1,0,2.0288597421026
"Gbp3",2.78502027937678,0.0261013114909142,1.96920462624968,0.999984452942187,1.32775742863481,0.999883655288253,1,0,2.02732744475376
"Ifi203",3.93970374463661,0.00796434424003133,0.99832710156327,0.999984452942187,1.13544915193972,0.999883655288253,1,0,2.0244933327132
"Plac8",2.72471458095608,0.0323235981246719,1.92060613323447,0.999984452942187,1.41744801276334,0.999883655288253,1,0,2.02092290898463
"I830012O16Rik",3.8859920056693,0.00885067097689257,1.36931676707189,0.999984452942187,0.739985067680391,0.999883655288253,1,0,1.99843128014053
"Fam110c",2.65274628506948,0.0275082153768085,1.41858996079479,0.999984452942187,1.87662211293957,0.999883655288253,1,0,1.98265278626795
"Ddx60",3.58206446076688,0.00693623795233095,1.76252564488378,0.999984452942187,0.574939290503083,0.999883655288253,1,0,1.97317646538458
"Vcam1",3.58902325491858,0.00920433499104532,1.17211357042934,0.999984452942187,1.14729133964405,0.999883655288253,1,0,1.96947605499732
"Il1r1",3.39089332578252,0.00796434424003133,1.08953351190116,0.999984452942187,1.40726930486805,0.999883655288253,1,0,1.96256538085058
"Phf11d",3.61706516175487,0.00804194151225679,1.3101373508064,0.999984452942187,0.910854743741518,0.999883655288253,1,0,1.94601908543426
"Serpina3i",1.55275700117237,0.144665852882518,1.21540210158842,0.999984452942187,3.03992670939953,0.0333156957228285,1,0,1.93602860405344
"Lrrc8d",3.37926518358776,0.00417408038424979,1.28387149599,0.999984452942187,1.07096829858362,0.999883655288253,1,0,1.9113683260538
"Rtp4",3.2040955740978,0.0198257804829658,1.66691116503709,0.999984452942187,0.82981792296007,0.999883655288253,1,0,1.90027488736499
"Gal",3.1967384370293,0.0164883968269996,1.06760752802029,0.999984452942187,1.31475984280506,0.999883655288253,1,0,1.85970193595155
"Gm266",2.71763846038981,0.0281102504271791,1.64822202210871,0.999984452942187,1.18177356922504,0.999883655288253,1,0,1.84921135057452
"Cd40",2.44875587196982,0.0435156290362183,1.82154104015391,0.999984452942187,1.18072136246014,0.999883655288253,1,0,1.81700609152796
"Gm14275",0.567526566766286,0.514689590554172,1.28516601464099,0.939598147188464,3.55854670872393,3.55371354273666e-05,1,0,1.80374643004373
"Acat3",-0.127841696458834,0.921393975960166,3.47978510129481,0.000433542020581997,2.04123657159297,0.221214846459951,1,0,1.79772665880965
"Ifi44",2.87282601840857,0.0400874552724988,1.72487800701218,0.999984452942187,0.794008211904631,0.999883655288253,1,0,1.7972374124418
"Bhlhe22",2.73586844912833,0.0303124376234842,1.29934319562002,0.999984452942187,1.34533904565798,0.999883655288253,1,0,1.79351689680211
"Icam1",3.55835009510744,0.0122699952550124,1.46181872072507,0.999984452942187,0.356603948867073,0.999883655288253,1,0,1.7922575882332
"Cyp1b1",3.72113562806179,0.00294515977999255,0.867848951711405,0.999984452942187,0.721889367061009,0.999883655288253,1,0,1.7702913156114
"Ppbp",2.78970627282398,0.0234803418230641,0.448602312364074,0.999984452942187,2.05054018775864,0.958465922282253,1,0,1.76294959098223
"Ak4",3.08977722277992,0.0209151657413395,1.21986867023568,0.999984452942187,0.941635134922054,0.999883655288253,1,0,1.75042700931255
"Serpinb2",0.503103714067903,0.608316430728156,3.39076228944268,0.000243215750180253,1.349430787491,0.999883655288253,1,0,1.74776559700053
"Smim3",2.70467704867217,0.0110769289922797,1.07115151734346,0.999984452942187,1.45553303924456,0.999883655288253,1,0,1.7437872017534
"Glrx",3.24790535089788,0.00722638257688278,1.24705601322866,0.999984452942187,0.720612258159991,0.999883655288253,1,0,1.73852454076218
"H2-Q7",0.332967127976215,0.755854668124766,2.28542620321312,0.0534241879413946,2.59349627967982,0.0168603234536971,1,0,1.73729653695638
"Xdh",2.14247323254779,0.0343043397842109,1.42806113377865,0.999984452942187,1.621549961986,0.999883655288253,1,0,1.73069477610415
"Rnd1",4.11276679362561,0.00466126155733531,0.496008258541855,0.999984452942187,0.46181281592247,0.999883655288253,1,0,1.69019595602998
"Il1r2",2.19444032296581,0.0302641067193697,1.21662276447706,0.999984452942187,1.60152992005295,0.999883655288253,1,0,1.67086433583194
"Nmi",3.45371920872161,0.0137538161917017,0.920508451894027,0.999984452942187,0.610978361378894,0.999883655288253,1,0,1.66173534066484
"Lrrtm2",3.19353040461529,0.00796434424003133,0.86786455139514,0.999984452942187,0.894114851166486,0.999883655288253,1,0,1.65183660239231
"Rab32",3.30242606754605,0.00523735045416015,1.15074738287514,0.999984452942187,0.422834100486778,0.999883655288253,1,0,1.62533585030266
"Olr1",3.35233934250802,0.00799446509962251,0.587253893444779,0.999984452942187,0.873627796107333,0.999883655288253,1,0,1.60440701068671
"Fam20c",2.43617868206386,0.0328916172388587,1.19580013272914,0.999984452942187,1.1782701713886,0.999883655288253,1,0,1.6034163287272
"Gramd1b",3.09600587366501,0.0170801182706632,0.825794967671671,0.999984452942187,0.874080438517216,0.999883655288253,1,0,1.59862709328463
"Mmp10",2.80034216675004,0.00500047838467875,1.04168884259279,0.999984452942187,0.923290529887297,0.999883655288253,1,0,1.58844051307671
"Parp9",2.66973887807198,0.0281352222400848,1.23424757863695,0.999984452942187,0.846110830804403,0.999883655288253,1,0,1.58336576250444
"Rgs4",1.42670383136373,0.0412415306228222,1.65422544762815,0.130263163453519,1.6587181440563,0.162308598380378,1,0,1.57988247434939
"Sele",4.15756537590569,0.00184907825818788,-0.0429647434239226,0.999984452942187,0.623099354530957,0.999883655288253,1,0,1.57923332900424
"Ppap2b",3.40037475608897,0.0170801182706632,1.10661221465472,0.999984452942187,0.17915417197844,0.999883655288253,1,0,1.56204704757404
"Rnf213",3.36007321911616,0.011411371400259,0.770760897612965,0.999984452942187,0.515450947276858,0.999883655288253,1,0,1.54876168800199
"Irgm1",2.98779937665789,0.0144700789606158,0.938934794839288,0.999984452942187,0.716749791888087,0.999883655288253,1,0,1.54782798779509
"Tmem173",2.99385675519022,0.0255989632369116,0.686449641294482,0.999984452942187,0.951984820954151,0.999883655288253,1,0,1.54409707247962
"Dse",2.85311997189945,0.0122699952550124,0.782789487005141,0.999984452942187,0.988922681613018,0.999883655288253,1,0,1.54161071350587
"Bid",3.73830481153451,0.00270332417873564,0.449206552578643,0.999984452942187,0.417637711410829,0.999883655288253,1,0,1.53504969184133
"Bnip3",2.27047745235676,0.0302156755369744,1.28731615249191,0.999984452942187,1.04464678778635,0.999883655288253,1,0,1.53414679754501
"Slc43a3",2.4721945247364,0.0285567824259822,0.866869177366735,0.999984452942187,1.1901086227729,0.999883655288253,1,0,1.50972410829201
"Stat2",2.92235484175903,0.0282174365070607,0.970765051365802,0.999984452942187,0.611106352307107,0.999883655288253,1,0,1.50140874847731
"Stk17b",4.04744158723019,0.00250731473111029,0.318964116114053,0.999984452942187,0.133199236704294,0.999883655288253,1,0,1.49986831334951
"Trp53rk",4.1710882751518,0.0059808673337978,0.317310127426266,0.999984452942187,-0.0472873782616059,0.999883655288253,1,0,1.48037034143882
"Dtx3l",2.70611464257309,0.0460066383976887,1.07036110673149,0.999984452942187,0.657154088793942,0.999883655288253,1,0,1.47787661269951
"Ube2t",3.17572675814859,0.0178946007563049,0.539994907427088,0.999984452942187,0.708182832662239,0.999883655288253,1,0,1.47463483274597
"Junb",3.51551757637491,0.00804194151225679,0.396685866901028,0.999984452942187,0.457514207626701,0.999883655288253,1,0,1.45657255030088
"Bcl6",3.13776707354221,0.00796434424003133,0.672906860195575,0.999984452942187,0.550334275662033,0.999883655288253,1,0,1.45366940313327
"Tpt1-ps6",3.78851017557633,0.011411371400259,0.489263547009086,0.999984452942187,0.0713310932142539,0.999883655288253,1,0,1.44970160526656
"Adm",2.59713461297654,0.0153167550442581,0.7792233572268,0.999984452942187,0.964117162922547,0.999883655288253,1,0,1.4468250443753
"Parp12",2.4687492212963,0.0289836032116787,1.1539024154805,0.999984452942187,0.677376196370747,0.999883655288253,1,0,1.43334261104918
"Tmem178b",2.82978274036876,0.0343043397842109,0.350798134477894,0.999984452942187,1.11931669315163,0.999883655288253,1,0,1.43329918933276
"Slc11a2",2.68217165381493,0.0236869736913723,0.698961825097163,0.999984452942187,0.888519813905468,0.999883655288253,1,0,1.42321776427252
"Nfkb1",2.63504106786272,0.0292716630074557,0.911892805093421,0.999984452942187,0.718651492070145,0.999883655288253,1,0,1.4218617883421
"Socs1",2.82183495958808,0.02802128435195,1.08249235949397,0.999984452942187,0.352519763562497,0.999883655288253,1,0,1.41894902754818
"Slc31a2",2.64728138816194,0.0446826370632155,0.698362839774199,0.999984452942187,0.831761674977217,0.999883655288253,1,0,1.39246863430445
"Tor3a",2.58879959511889,0.0362403654159768,1.27374682513956,0.999984452942187,0.2810879801913,0.999883655288253,1,0,1.38121146681658
"Ripk2",2.93810926952943,0.0292716630074557,0.591364221913104,0.999984452942187,0.555892488714174,0.999883655288253,1,0,1.36178866005224
"Pi4k2b",3.37039544788835,0.0122699952550124,0.528209836265431,0.999984452942187,0.16954272424021,0.999883655288253,1,0,1.35604933613133
"Acvr1b",2.8759174532466,0.0169017638587579,0.863092165651398,0.999984452942187,0.319309849742914,0.999883655288253,1,0,1.35277315621364
"Eif2ak2",3.75425590956007,0.0041737679864735,0.295408259925042,0.999984452942187,0.00764116004083881,0.999883655288253,1,0,1.35243510984198
"Slit3",3.17993592917772,0.00810030348579337,0.23646164313659,0.999984452942187,0.638921920563028,0.999883655288253,1,0,1.35177316429245
"Ifngr2",2.32047563903533,0.0355544415762257,0.911693597455181,0.999984452942187,0.795894534460877,0.999883655288253,1,0,1.34268792365046
"Ptgs2",1.45820633360132,0.0227835500000934,1.2382118998644,0.423081511438945,1.31519433021379,0.340493446270016,1,0,1.33720418789317
"Mcfd2",3.23613725742666,0.00799871097669645,0.426023773881004,0.999984452942187,0.343860613168145,0.999883655288253,1,0,1.3353405481586
"Tmem100",2.27293356444641,0.0451664651049191,0.885797756334587,0.999984452942187,0.846866438360645,0.999883655288253,1,0,1.33519925304721
"Pim1",2.74415753728147,0.025406751446635,0.690802361546342,0.999984452942187,0.56214917174168,0.999883655288253,1,0,1.33236969018983
"Apmap",3.04373385536697,0.00810030348579337,0.771001847181862,0.999984452942187,0.182340570512505,0.999883655288253,1,0,1.33235875768711
"Lix1l",3.41668811094507,0.0181867325081137,0.537726748239638,0.999984452942187,0.0328879380221041,0.999883655288253,1,0,1.32910093240227
"Rps15a-ps4",3.30305524053573,0.00796434424003133,0.258054509508112,0.999984452942187,0.422373967301141,0.999883655288253,1,0,1.32782790578166
"Ankrd13d",2.45570971486254,0.031700789335336,0.652986224942569,0.999984452942187,0.868772975200712,0.999883655288253,1,0,1.32582297166861
"Igf1",2.34498130569132,0.035421381715733,0.533310984969493,0.999984452942187,1.09787061180844,0.999883655288253,1,0,1.32538763415642
"Creld2",2.81168940077199,0.0175236193465063,0.69522579894441,0.999984452942187,0.462040507234131,0.999883655288253,1,0,1.32298523565018
"Gopc",3.24075057762362,0.00466126155733531,0.550394236840077,0.999984452942187,0.151967540687814,0.999883655288253,1,0,1.3143707850505
"Fbxl5",2.56975799840935,0.0277351921826357,0.416480517564381,0.999984452942187,0.945334620518573,0.999883655288253,1,0,1.31052437883077
"Slc25a16",3.02213707060429,0.0104617993830821,0.473470749119358,0.999984452942187,0.433339574616232,0.999883655288253,1,0,1.30964913144663
"Brinp1",2.37253884991277,0.0461449426540728,0.49881519825947,0.999984452942187,1.05277943003378,0.999883655288253,1,0,1.30804449273534
"Nsun4",3.56909857481228,0.00380367966945447,0.518651108522982,0.999984452942187,-0.177441849873259,0.999883655288253,1,0,1.30343594448734
"Ksr1",2.53807862029722,0.0449844557818141,0.64251481171631,0.999984452942187,0.713399586344187,0.999883655288253,1,0,1.2979976727859
"Flot2",2.80132054604171,0.0162788910108692,0.632383255993981,0.999984452942187,0.439804392121101,0.999883655288253,1,0,1.29116939805226
"Gsdmd",2.86414743124855,0.0248987639609909,0.155722856146366,0.999984452942187,0.840418682046914,0.999883655288253,1,0,1.28676298981394
"Ptrh1",2.65841350819968,0.0393551034600543,0.678423510658532,0.999984452942187,0.508726012511147,0.999883655288253,1,0,1.28185434378978
"Gla",3.3616353661647,0.0123825435039855,0.503107215319025,0.999984452942187,-0.0393820810131205,0.999883655288253,1,0,1.27512016682353
"Slfn9",2.95926527623385,0.0268024744034082,0.647460698666857,0.999984452942187,0.20078482015095,0.999883655288253,1,0,1.26917026501722
"Pmaip1",2.61375194364509,0.0431201117525375,0.647245941011713,0.999984452942187,0.536851706695315,0.999883655288253,1,0,1.26594986378404
"Rab15",2.41825436010149,0.044525734556185,0.343026820532452,0.999984452942187,1.02500092435527,0.999883655288253,1,0,1.2620940349964
"Fbxl21",2.47060134346965,0.0395803658382149,0.389675842149585,0.999984452942187,0.918316655922625,0.999883655288253,1,0,1.25953128051395
"Snapc4",3.32250453121092,0.0138109589678369,0.665821411153035,0.999984452942187,-0.219383149502642,0.999883655288253,1,0,1.25631426428711
"Dusp16",3.27552293654827,0.0255989632369116,-0.0259996550603292,0.999984452942187,0.485641591862179,0.999883655288253,1,0,1.24505495778337
"Runx1",3.05118273741789,0.0166150546082803,0.256160935632562,0.999984452942187,0.412867812861954,0.999883655288253,1,0,1.24007049530414
"Tmem201",2.45834111624993,0.043758035882281,0.872670198182436,0.999984452942187,0.375245123035915,0.999883655288253,1,0,1.23541881248943
"Tmem87b",2.8130114344818,0.0218737855717401,0.572418995946567,0.999984452942187,0.303214561162035,0.999883655288253,1,0,1.22954833053013
"Ppia",2.76358504190962,0.0223160270732871,0.419762900117857,0.999984452942187,0.501851415277788,0.999883655288253,1,0,1.22839978576842
"Rdh10",2.61341524711729,0.0464189556750946,0.599446674312772,0.999984452942187,0.457615211865222,0.999883655288253,1,0,1.2234923777651
"Il4ra",2.94360892600295,0.00920433499104532,0.494427524727893,0.999984452942187,0.218152957781457,0.999883655288253,1,0,1.21872980283743
"Adck4",3.11261181549554,0.00830986674401317,0.448348797172735,0.999984452942187,0.0879480997969111,0.999883655288253,1,0,1.21630290415506
"Myo1b",3.15679583140073,0.00810153201979551,0.288827689107909,0.999984452942187,0.175000330582279,0.999883655288253,1,0,1.2068746170303
"Cdc42ep3",2.33467249327861,0.0449844557818141,0.734900516877461,0.999984452942187,0.544306837697351,0.999883655288253,1,0,1.20462661595114
"Cmtr1",2.8300021039964,0.0444191467026025,0.617568967964096,0.999984452942187,0.154180079018167,0.999883655288253,1,0,1.20058371699289
"Eno1",2.52840764459631,0.0464477908596071,0.658977529968882,0.999984452942187,0.408668157653057,0.999883655288253,1,0,1.19868444407275
"Sec61a2",3.13688837241877,0.0236869736913723,-0.217079090068692,0.999984452942187,0.664544818577332,0.999883655288253,1,0,1.19478470030914
"Irf9",2.88505950522985,0.0227835500000934,0.443299742905783,0.999984452942187,0.245229846115635,0.999883655288253,1,0,1.19119636475042
"Adamts8",3.57275048293326,0.00549557580470498,0.15002033715693,0.999984452942187,-0.158858121402658,0.999883655288253,1,0,1.18797089956251
"Spata13",3.40389999825838,0.00600463497463264,0.298040137720012,0.999984452942187,-0.149037748313295,0.999883655288253,1,0,1.18430079588837
"Ptpru",3.30442034914125,0.0287042719949182,0.265938381760295,0.999984452942187,-0.027046985001582,0.999883655288253,1,0,1.18110391529999
"Slc25a25",2.55780804262268,0.0166264436017049,0.373826208250974,0.999984452942187,0.610023698756832,0.999883655288253,1,0,1.18055264987683
"Asap3",2.50101192320365,0.0312748262558623,1.01051598750185,0.999984452942187,0.00858386295043001,0.999883655288253,1,0,1.17337059121865
"Cacna1b",2.99698621572961,0.0239874594405336,0.165735998337256,0.999984452942187,0.352182295767324,0.999883655288253,1,0,1.1716348366114
"Pid1",2.81883928858161,0.0266642281062032,0.190575673692747,0.999984452942187,0.501130820727984,0.999883655288253,1,0,1.17018192766745
"BC023829",3.13674981166995,0.0248987639609909,0.221042716329417,0.999984452942187,0.144836438422709,0.999883655288253,1,0,1.16754298880736
"Akr1b10",3.42061599875635,0.0122699952550124,0.441108643386692,0.999984452942187,-0.360649618672251,0.999883655288253,1,0,1.1670250078236
"Pigw",3.38343059161405,0.0187775053489822,0.249320614331931,0.999984452942187,-0.13223333141053,0.999883655288253,1,0,1.16683929151182
"Gm26902",-0.579225552589874,0.519776162648175,1.59816091716398,0.438408602002869,2.47813812308819,0.0115183347427357,1,0,1.1656911625541
"Dact1",2.75468411658452,0.0253281168899262,0.409655421300223,0.999984452942187,0.323877643861326,0.999883655288253,1,0,1.16273906058202
"Tubb2b",3.58738784854454,0.0192539245165996,-0.439920551844295,0.999984452942187,0.333079967248256,0.999883655288253,1,0,1.16018242131617
"Gm17971",2.91151568491043,0.0426347650050686,0.447069055498614,0.999984452942187,0.107443752666205,0.999883655288253,1,0,1.15534283102508
"Atrnl1",2.74486832421787,0.0183075152285242,0.495548768159328,0.999984452942187,0.222664526962792,0.999883655288253,1,0,1.15436053978
"Rnf126",2.47232503356182,0.0197834729620813,0.647360635960563,0.999984452942187,0.33176994742132,0.999883655288253,1,0,1.1504852056479
"Dcun1d2",2.93083504814528,0.0266642281062032,0.317669657002165,0.999984452942187,0.191854521395232,0.999883655288253,1,0,1.14678640884756
"Mageh1",3.06690422598381,0.0138109589678369,0.213462726673811,0.999984452942187,0.156074642590018,0.999883655288253,1,0,1.14548053174921
"Sra1",2.67365388806368,0.0145701853433455,0.368005571377973,0.999984452942187,0.386172383577547,0.999883655288253,1,0,1.14261061433973
