"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","contrast"
1.30684407949495,2.98664214831342,1.36062953033993,0.181524837179736,0.999984452942187,-5.10090521830186,"Bsdc1","tumor_vs_healthy_12h"
0.746687975244372,5.32067431770703,1.36058273643719,0.181539509283719,0.999984452942187,-5.10096336199665,"Zfp281","tumor_vs_healthy_12h"
-0.916486224365103,0.559369429066537,-1.35805940456056,0.182332048298234,0.999984452942187,-5.10409605180409,"Alpk1","tumor_vs_healthy_12h"
1.07637136633148,1.86849884023245,1.3579401185628,0.182369580062717,0.999984452942187,-5.10424401418056,"Rpl17-ps5","tumor_vs_healthy_12h"
-1.32857091206359,1.41938992797449,-1.35783612854574,0.182402304005772,0.999984452942187,-5.1043729938475,"Eya1","tumor_vs_healthy_12h"
-1.08020926579065,4.19477959537247,-1.35758707857419,0.182480694318241,0.999984452942187,-5.10468185631152,"Sertad4","tumor_vs_healthy_12h"
-0.706932849955017,6.95602913212891,-1.35747159751898,0.182517051638539,0.999984452942187,-5.10482505424338,"Mab21l2","tumor_vs_healthy_12h"
-0.840721182415951,0.0789612528988282,-1.35729129200148,0.182573829039819,0.999984452942187,-5.10504861331877,"Fam151b","tumor_vs_healthy_12h"
-0.991512967972577,1.01513475194996,-1.35709497490065,0.182635663890506,0.999984452942187,-5.10529199451679,"Vsig10l","tumor_vs_healthy_12h"
1.0498905970242,2.37627184121472,1.35689546699649,0.182698520291123,0.999984452942187,-5.10553929890375,"Cdc26","tumor_vs_healthy_12h"
-0.996963733524061,1.45291755156859,-1.35563740224614,0.183095266585577,0.999984452942187,-5.10709800439231,"Sirt3","tumor_vs_healthy_12h"
1.04808457845422,0.713441242524066,1.35531339032702,0.183197555127966,0.999984452942187,-5.10749923427858,"AI607873","tumor_vs_healthy_12h"
1.06244024164188,1.2570343973937,1.35525293605641,0.183216645034398,0.999984452942187,-5.10757408632043,"Rasl10b","tumor_vs_healthy_12h"
1.20812132308485,2.31600836035302,1.3546614136037,0.183403513463895,0.999984452942187,-5.1083063264948,"Gpr153","tumor_vs_healthy_12h"
1.02466332422917,0.849560238801206,1.35426620588003,0.183528445665447,0.999984452942187,-5.10879538960227,"Rpl31-ps16","tumor_vs_healthy_12h"
2.14440204639856,4.30904482124106,1.35414066695941,0.183568144462198,0.999984452942187,-5.10895071499528,"Actc1","tumor_vs_healthy_12h"
-1.03178705173898,0.63786649841518,-1.35400896177771,0.183609800302275,0.999984452942187,-5.10911365573174,"RP23-152O2.3","tumor_vs_healthy_12h"
-0.993079828210119,0.64798141944765,-1.35394328654712,0.183630574845306,0.999984452942187,-5.10919490132776,"Mxd3","tumor_vs_healthy_12h"
-1.34467986909789,1.21194847422765,-1.35359174030705,0.183741807541372,0.999984452942187,-5.10962973206651,"Mterf2","tumor_vs_healthy_12h"
1.31995145115192,2.32908047222381,1.35237776214346,0.184126320974585,0.999984452942187,-5.11113052838421,"Gm13092","tumor_vs_healthy_12h"
